Date,Canada_Outdoor_Mobility,Canada_indoorMobility,Germany_Outdoor_Mobility,Germany_indoorMobility,France_Outdoor_Mobility,France_indoorMobility,Japan_Outdoor_Mobility,Japan_indoorMobility,Italy_Outdoor_Mobility,Italy_indoorMobility,United_Kingdom_Outdoor_Mobility,United_Kingdom_indoorMobility
2020-02-15,14,0,25,-1,15,-1,18,0,33,-1,7,2
2020-02-16,8,-2,7,0,-2,-1,2,2,21,-2,-3,1
2020-02-17,-9,11,14,0,1,4,7,1,10,0,13,2
2020-02-18,5,1,12,1,5,3,8,1,13,0,12,2
2020-02-19,6,0,9,1,1,2,9,0,13,0,13,3
2020-02-20,10,0,12,1,4,3,11,0,17,0,10,3
2020-02-21,17,1,18,2,10,3,21,1,23,-1,17,3
2020-02-22,19,-1,23,0,16,-1,27,2,29,-1,17,1
2020-02-23,3,-1,2,0,3,-1,22,0,14,0,1,0
2020-02-24,4,0,7,4,4,3,8,14,2,4,2,1
2020-02-25,4,0,6,4,2,4,5,1,-7,5,6,0
2020-02-26,0,1,3,2,0,3,3,1,-15,6,7,0
2020-02-27,-2,4,6,2,0,4,0,1,-14,6,7,0
2020-02-28,12,1,15,2,8,4,4,2,-9,5,12,1
2020-02-29,16,0,17,1,7,1,2,4,-7,3,15,0
2020-03-01,2,-1,9,0,-9,0,-2,4,-22,4,5,-1
2020-03-02,2,1,6,0,-7,3,-1,4,-23,5,5,0
2020-03-03,6,0,5,1,-2,2,1,4,-18,4,6,0
2020-03-04,8,1,5,1,-3,2,-3,5,-16,4,6,1
2020-03-05,12,1,3,1,-5,3,2,4,-22,7,4,1
2020-03-06,13,1,8,2,3,3,7,5,-21,8,16,0
2020-03-07,14,0,16,1,8,1,-1,5,-20,6,19,0
2020-03-08,4,0,9,0,-10,1,-3,6,-29,6,2,-1
2020-03-09,5,1,1,1,-8,2,2,4,-40,11,1,1
2020-03-10,0,1,-4,3,-7,2,2,6,-51,16,2,1
2020-03-11,3,1,0,2,-3,1,10,3,-56,19,2,1
2020-03-12,2,1,-6,2,-8,1,9,3,-68,24,-2,2
2020-03-13,-4,5,-8,4,-8,3,6,5,-71,28,2,2
2020-03-14,-10,5,-8,4,-16,5,3,7,-76,25,1,2
2020-03-15,-18,4,-9,2,-31,3,7,3,-79,22,-16,2
2020-03-16,-21,10,-16,6,-39,13,7,4,-73,27,-12,4
2020-03-17,-30,14,-25,10,-63,24,12,4,-75,29,-23,7
2020-03-18,-33,16,-28,11,-73,29,14,3,-76,30,-28,10
2020-03-19,-35,17,-37,14,-74,32,22,2,-76,31,-29,11
2020-03-20,-40,20,-44,16,-76,36,20,17,-76,32,-31,13
2020-03-21,-41,13,-54,13,-79,24,20,3,-79,26,-39,11
2020-03-22,-48,11,-51,10,-81,18,12,3,-86,24,-43,9
2020-03-23,-50,20,-48,16,-75,32,12,3,-79,32,-44,17
2020-03-24,-50,22,-47,18,-76,34,15,4,-79,32,-57,24
2020-03-25,-50,23,-46,18,-77,32,17,2,-80,34,-59,26
2020-03-26,-53,25,-46,18,-77,34,11,3,-81,35,-60,27
2020-03-27,-50,26,-43,19,-78,37,1,6,-80,36,-61,28
2020-03-28,-55,17,-41,12,-79,25,-10,7,-81,27,-67,20
2020-03-29,-57,14,-61,11,-82,18,-8,7,-86,24,-70,15
2020-03-30,-56,23,-47,17,-77,33,-2,5,-79,32,-64,27
2020-03-31,-52,23,-43,17,-76,33,-4,5,-79,33,-62,27
2020-04-01,-52,24,-41,17,-76,31,-11,7,-79,33,-63,28
2020-04-02,-53,25,-43,17,-76,33,-4,6,-78,34,-63,29
2020-04-03,-54,27,-46,19,-76,37,-2,7,-77,35,-61,29
2020-04-04,-52,17,-41,12,-77,24,-10,8,-79,27,-64,19
2020-04-05,-58,14,-30,8,-78,17,-14,8,-85,24,-65,15
2020-04-06,-50,23,-32,15,-75,31,-11,7,-77,31,-62,27
2020-04-07,-51,24,-31,16,-74,32,-13,8,-76,31,-59,27
2020-04-08,-50,24,-29,15,-74,30,-18,9,-76,31,-60,27
2020-04-09,-48,24,-31,15,-73,32,-20,10,-75,32,-58,27
2020-04-10,-62,33,-48,29,-74,36,-19,12,-74,33,-63,32
2020-04-11,-51,17,-34,10,-75,23,-29,12,-76,26,-63,19
2020-04-12,-61,14,-35,6,-78,17,-38,12,-88,25,-69,16
2020-04-13,-58,26,-56,28,-84,38,-33,13,-89,40,-66,31
2020-04-14,-50,24,-37,17,-71,31,-21,12,-76,30,-58,27
2020-04-15,-50,24,-32,16,-72,29,-21,11,-75,30,-57,27
2020-04-16,-49,25,-29,16,-71,31,-25,12,-74,31,-57,28
2020-04-17,-50,27,-31,16,-72,35,-32,14,-74,32,-61,29
2020-04-18,-46,16,-33,10,-75,23,-36,16,-76,25,-64,19
2020-04-19,-54,14,-27,7,-77,17,-33,11,-83,23,-59,14
2020-04-20,-44,22,-30,13,-72,30,-33,14,-76,29,-57,25
2020-04-21,-50,23,-29,14,-71,31,-28,14,-75,29,-56,26
2020-04-22,-50,24,-26,13,-70,28,-31,14,-75,30,-56,27
2020-04-23,-46,24,-26,13,-70,30,-31,15,-73,30,-55,27
2020-04-24,-44,25,-30,14,-70,33,-28,16,-71,29,-55,27
2020-04-25,-41,14,-29,9,-73,22,-32,14,-83,28,-57,18
2020-04-26,-51,13,-19,6,-73,16,-35,12,-79,22,-58,14
2020-04-27,-43,21,-26,12,-69,28,-32,15,-70,26,-56,25
2020-04-28,-42,16,-32,13,-67,28,-27,14,-72,26,-63,25
2020-04-29,-43,22,-32,13,-67,27,-31,22,-70,27,-61,27
2020-04-30,-44,23,-30,12,-66,28,-25,16,-68,26,-61,27
2020-05-01,-37,23,-53,28,-82,42,-26,19,-84,41,-57,27
2020-05-02,-37,14,-34,9,-68,21,-31,15,-70,23,-56,17
2020-05-03,-38,11,-23,6,-71,16,-35,12,-74,21,-59,14
2020-05-04,-40,20,-28,11,-64,26,-32,29,-55,18,-54,24
2020-05-05,-35,20,-25,12,-63,27,-35,29,-55,19,-53,25
2020-05-06,-33,20,-20,11,-61,24,-38,30,-56,20,-50,25
2020-05-07,-35,21,-19,11,-60,25,-24,14,-55,20,-49,25
2020-05-08,-35,22,-17,11,-72,38,-24,16,-54,21,-54,30
2020-05-09,-36,13,-15,5,-64,19,-32,13,-53,15,-52,17
2020-05-10,-40,10,-21,4,-65,15,-33,12,-60,13,-61,14
2020-05-11,-39,19,-28,11,-55,19,-28,12,-57,19,-55,24
2020-05-12,-40,20,-24,11,-51,18,-27,13,-54,19,-54,24
2020-05-13,-29,19,-23,11,-42,17,-26,13,-56,19,-49,25
2020-05-14,-31,20,-20,10,-40,17,-25,12,-53,18,-46,23
2020-05-15,-29,21,-17,10,-38,19,-28,15,-54,20,-45,24
2020-05-16,-23,10,-12,5,-36,9,-31,14,-54,15,-46,15
2020-05-17,-27,8,-4,3,-37,5,-26,9,-54,12,-45,12
2020-05-18,-34,24,-10,8,-32,16,-31,13,-44,14,-43,22
2020-05-19,-22,18,-7,9,-29,16,-28,14,-46,15,-39,22
2020-05-20,-18,17,1,6,-25,12,-25,12,-43,15,-36,22
2020-05-21,-19,18,-6,18,-34,22,-24,12,-40,15,-39,23
2020-05-22,-16,18,-9,14,-30,20,-18,13,-38,14,-42,24
2020-05-23,-13,9,-16,7,-34,10,-16,11,-34,8,-46,15
2020-05-24,-16,6,-13,3,-30,3,-20,8,-36,5,-41,11
2020-05-25,-19,16,-10,8,-26,15,-20,10,-38,12,-31,24
2020-05-26,-16,16,-4,8,-23,15,-21,11,-37,12,-34,21
2020-05-27,-14,16,-1,7,-23,13,-17,10,-36,12,-34,22
2020-05-28,-18,17,-2,8,-23,14,-16,10,-36,13,-31,22
2020-05-29,-16,18,5,7,-21,15,-8,11,-37,13,-30,22
2020-05-30,-14,9,10,2,-17,5,-11,8,-30,7,-30,12
2020-05-31,-19,7,16,0,-18,2,-19,7,-30,5,-30,9
2020-06-01,-13,14,11,16,-25,20,-17,8,-23,11,-30,19
2020-06-02,-17,16,12,6,-11,11,-14,8,-24,16,-29,19
2020-06-03,-15,16,5,7,-17,11,-14,8,-30,10,-42,22
2020-06-04,-7,15,-8,9,-22,13,-12,8,-36,12,-40,22
2020-06-05,-4,15,-5,9,-18,13,-3,9,-28,11,-39,22
2020-06-06,-8,8,2,4,-11,4,-3,7,-18,4,-43,14
2020-06-07,-8,5,-1,3,-18,0,-10,5,-30,4,-39,10
2020-06-08,-9,14,2,7,-16,11,-12,7,-32,10,-36,19
2020-06-09,-9,14,1,8,-14,11,-11,8,-27,9,-33,20
2020-06-10,-10,15,6,6,-12,10,-14,7,-28,10,-42,21